text,coordinates
minecraft-server @ 2023-12-23 23.41:14 - Tracy Profiler 0.10.0,"[[621, 17], [1039, 17], [1039, 37], [621, 37]]"
Il Pause,"[[53, 53], [105, 53], [105, 67], [53, 67]]"
# Options,"[[127, 49], [195, 49], [195, 69], [127, 69]]"
Messages,"[[224, 52], [285, 52], [285, 69], [224, 69]]"
Find zone,"[[315, 53], [375, 53], [375, 67], [315, 67]]"
1= Statistics,"[[387, 51], [459, 51], [459, 67], [387, 67]]"
@Memory,"[[471, 51], [543, 51], [543, 69], [471, 69]]"
90 Compare,"[[555, 52], [633, 52], [633, 70], [555, 70]]"
Info,"[[663, 53], [691, 53], [691, 67], [663, 67]]"
5.14.1,"[[785, 53], [823, 53], [823, 67], [785, 67]]"
11814.3,"[[859, 53], [903, 53], [903, 67], [859, 67]]"
465.12 MB   (0.4106),"[[921, 53], [1047, 53], [1047, 67], [921, 67]]"
"+6.00 246,247,786n5","[[5, 137], [125, 137], [125, 153], [5, 153]]"
30 s,"[[159, 137], [187, 137], [187, 151], [159, 151]]"
50 5,"[[265, 137], [291, 137], [291, 151], [265, 151]]"
"1,10","[[369, 137], [397, 137], [397, 151], [369, 151]]"
1.30,"[[473, 137], [501, 137], [501, 151], [473, 151]]"
1.50,"[[575, 137], [603, 137], [603, 151], [575, 151]]"
2.10,"[[679, 137], [707, 137], [707, 151], [679, 151]]"
2.30,"[[783, 137], [811, 137], [811, 151], [783, 151]]"
2.50,"[[887, 137], [915, 137], [915, 151], [887, 151]]"
3.10,"[[991, 137], [1019, 137], [1019, 151], [991, 151]]"
3.30,"[[1093, 137], [1121, 137], [1121, 151], [1093, 151]]"
3.50,"[[1197, 137], [1225, 137], [1225, 151], [1197, 151]]"
"4,10","[[1301, 137], [1331, 137], [1331, 151], [1301, 151]]"
"4,.30","[[1405, 137], [1435, 137], [1435, 151], [1405, 151]]"
4.50,"[[1509, 137], [1539, 137], [1539, 151], [1509, 151]]"
5.10,"[[1613, 137], [1641, 137], [1641, 151], [1613, 151]]"
CPU usage,"[[37, 155], [103, 155], [103, 171], [37, 171]]"
"(y-range: 52.3826 visible data points; 3,118)","[[107, 155], [357, 155], [357, 171], [107, 171]]"
52.3896,"[[5, 171], [51, 171], [51, 185], [5, 185]]"
Ln,"[[1291, 199], [1381, 199], [1381, 259], [1291, 259]]"
8a,"[[1617, 239], [1635, 239], [1635, 263], [1617, 263]]"
"@""Memory usage_(yrange:","[[21, 273], [187, 273], [187, 291], [21, 291]]"
bytes visible data points; 0),"[[197, 273], [357, 273], [357, 289], [197, 289]]"
0 bytes,"[[5, 291], [49, 291], [49, 307], [5, 307]]"
bytes,"[[15, 375], [49, 375], [49, 389], [15, 389]]"
0.0096,"[[2.585786437626905, 256.5857864376269], [42.778575604636295, 253.0853039747585], [44.41421356237309, 269.4142135623731], [4.221424395363706, 272.91469602524154]]"
